,close,close_predicted
2238,205.080002,197.47909156751024
2239,192.729996,198.81910256751024
2240,195.490005,194.05909256751025
2241,190.630005,199.54909856751024
2242,188.699997,190.91909356751023
2243,189.860001,186.81910256751024
2244,188.220001,188.46909656751023
2245,185.160004,184.81910256751024
2246,178.970001,185.22909156751024
2247,193.600006,180.81910256751024
2248,196.589996,198.39908956751023
2249,205.949997,204.15909856751023
2250,204.5,204.71909656751023
2251,212.880005,209.96909656751023
2252,217.100006,218.85909556751022
2253,209.259995,222.66909356751023
2254,213.910004,210.09910156751025
2255,214.919998,210.96909656751023
2256,225.029999,215.19909256751023
2257,224.740005,228.43909756751023
